generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
71,9,10,0,64,17,9,0,63,17,6,4,45,17,10,18,
64,20,5,1,61,24,0,5,50,29,1,10,63,11,4,12,
81,3,5,1,3,72,14,1,34,21,25,10,6,1,56,27,
86,4,0,0,87,0,1,2,72,15,3,0,54,31,4,1,
0,23,27,40,49,18,8,15,42,47,1,0,43,1,20,26,
2,26,47,15,37,30,5,18,40,37,11,2,77,13,0,0,
58,20,11,1,87,0,3,0,66,10,5,9,0,58,22,10,
45,28,6,11,41,38,9,2,84,0,4,2,12,28,6,44,
21,59,6,4,71,11,7,1,61,21,0,8,1,89,0,0,
61,24,5,0,26,4,51,9,3,3,42,42,23,34,5,28,
6,68,2,14,9,69,0,12,0,5,55,30,73,2,12,3,
53,7,20,10,37,2,42,9,45,31,10,4,29,19,15,27,
71,12,7,0,51,21,18,0,85,5,0,0,86,0,0,4,
3,30,55,2,32,30,11,17,35,45,3,7,29,23,8,30,
5,82,3,0,68,17,2,3,53,13,6,18,65,23,2,0,
64,7,3,16,89,0,1,0,77,5,7,1,33,25,19,13,
36,7,44,3,87,0,0,3,58,3,22,7,49,34,7,0,
14,1,71,4,55,35,0,0,14,18,38,20,35,26,21,8,
89,1,0,0,39,11,9,31,52,25,11,2,37,44,3,6,
27,37,26,0,82,8,0,0,36,39,15,0,29,27,33,1,
77,8,3,2,86,0,2,2,0,23,23,44,51,29,3,7,
81,3,0,6,79,11,0,0,24,9,6,51,23,56,6,5,
39,34,7,10,56,28,1,5,47,11,30,2,31,53,4,2,
7,31,46,6,21,65,3,1,67,19,3,1,62,16,11,1,
73,15,2,0,52,14,6,18,15,61,2,12,12,2,28,48,
59,21,9,1,32,27,8,23,46,11,13,20,84,2,2,2,
3,83,3,1,35,10,43,2,69,17,1,3,26,64,0,0,
34,13,36,7,57,9,18,6,76,14,0,0,27,57,5,1,
22,63,5,0,89,1,0,0,20,13,0,57,44,12,34,0,
36,13,24,17,74,7,5,4,69,10,0,11,54,3,12,21,
55,6,7,22,45,12,28,5,8,79,1,2,84,5,0,1,
70,20,0,0,40,30,3,17,54,11,0,25,87,3,0,0,
20,35,1,34,81,7,2,0,29,54,1,6,34,56,0,0,
49,8,24,9,80,3,0,7,15,40,9,26,44,35,1,10,
54,3,23,10,14,33,25,18,49,10,2,29,51,13,5,21,
81,5,3,1,71,13,2,4,85,0,4,1,83,1,5,1,
69,17,2,2,1,4,66,19,80,9,1,0,61,9,15,5,
51,29,2,8,9,4,69,8,6,8,63,13,57,26,4,3,
7,78,3,2,27,32,28,3,52,19,10,9,71,6,13,0,
72,16,2,0,63,1,1,25,32,49,3,6,38,39,7,6,
81,5,0,4,78,7,1,4,21,28,32,9,55,14,12,9,
38,19,5,28,12,12,61,5,74,14,2,0,6,75,3,6,
